,url,label
1,https://aru4901.page.link/qbvQ,phishing
2,https://supportsella.com,phishing
3,https://aeoncadr.reaolmt-meswebs.xhlasa.net/aeon,phishing
4,https://slmmonsxzv.site/Simmons/,phishing
5,https://docs.google.com/presentation/d/e/2PACX-1vQrKoU7dtLUoo2xVcLWoAl,phishing
6,https://dokument-a11egro.com/s/ef5j1,phishing
7,https://dokument-a11egro.com/s/Epei,phishing
8,https://aeon.wibmdntb.top,phishing
9,https://aeon.jcpiqlb.top,phishing
10,https://7703.tianjinshi.club/0997,phishing
11,https://emmegreen69.wixsite.com/my-site-2,phishing
12,https://plum460091.studio.site/,phishing
13,https://docs.google.com/presentation/d/e/2PACX-1vShZ1Mjep1059U7exXV8I-,phishing
14,https://tinyurl.com/bdzf7ey4,phishing
15,https://docs.google.com/presentation/d/e/2PACX-1vT-ygH37xPz0JqDnLo-yWl,phishing
16,https://aeonretail.iertury.com,phishing
17,https://jdctucker.wixstudio.io/my-site,phishing
18,https://accesspage1.studio.site/,phishing
19,http://allegr0lokalnie.08457456.xyz/captcha,phishing
20,https://forms.office.com/pages/responsepage.aspx?id=DQSIkWdsW0yxEjajBL,phishing
23,https://supportsella.com/,phishing
24,https://pancake-airdrop2.vercel.app/,phishing
25,http://pancake-airdrop2.vercel.app,phishing
26,http://allegrol0kalnie.98457456.xyz/captcha,phishing
27,https://postgg.sbs/pl?a=kPj1R,phishing
28,https://sites.google.com/view/weblogemail/home,phishing
29,https://allegr0lokalnie.08457456.xyz/h8qjp7uu,phishing
30,https://dshconstruction.one/,phishing
31,https://ttrezor-io-suite.webflow.io/,phishing
32,http://ttrezor-io-suite.webflow.io,phishing
33,https://s2developrnent.com/rss/index.html,phishing
34,https://allegrol0kalnie.98457456.xyz/kdegxqqx,phishing
35,https://vyc.dhy.mybluehost.me/Diee/,phishing
36,https://postilu.xyz/i/,phishing
37,https://postilu.xyz/i?udz=IQplsPCmym?FjK=2FrxMt1evi,phishing
38,https://is.gd/WwLjgO,phishing
39,https://xne.us/a4o,phishing
40,https://11040db.wcomhost.com/,phishing
41,https://myoweb-idt.online/myorangeIdent,phishing
42,https://dokument-qr.com/s/fHOic,phishing
45,https://irs-corporate-portal.com/apply/,phishing
46,https://ipfs.io/ipfs/bafkreif34dbkbhlogztrfrpeb4oochhatz4vm52rdpqpw4bo,phishing
47,https://cloudflare-ipfs.com/ipfs/bafkreif34dbkbhlogztrfrpeb4oochhatz4v,phishing
48,https://play-now-34d811.webflow.io/,phishing
49,https://us17.list-manage.com/survey?u=030b309af2ed741a6d182440e&id=501,phishing
50,https://next-basedprotocol.pages.dev/,phishing
51,http://next-basedprotocol.pages.dev/,phishing
52,https://allegrol0kalnie.98457456.xyz/nuo3hnql,phishing
53,https://ing.clientes-webapp.com,phishing
54,https://auth-trezor.github.io/,phishing
55,http://auth-trezor.github.io,phishing
56,https://us13.list-manage.com/survey?u=4f008145e90b6a2abe9b6cebd&id=5fa,phishing
57,https://hootbio.com/btpages,phishing
58,https://www.dropbox.com/scl/fi/hczqw6jb5cbtonrvz8d89/VOICE-MESSAGE-REC,phishing
